machineId,lat,lng,topbrand,total
ZPL300962J,40.0001359,-105.2627299,drpepper,6007.468
ZPL300972C,39.62692,-104.895178,drpepper,3551.597
ZPL300975X,39.698121,-105.3295919,drpepper,4480.185
ZPL300979D,34.96313,-89.991956,fanta,3352.324
ZPL300980F,39.5953875,-104.9023706,drpepper,4373.848
ZPL300992Y,44.215415,-70.519752,coke,0
ZPL300993T,39.951421,-83.1461897,fanta,2002.791
ZPL3009979,40.337657,-79.8084096,coke,0
ZPL3009984,27.7990673,-82.3349682,coke,0
ZPL301001M,40.400323,-80.024316,coke,0
ZPL301002H,34.143383,-83.956095,coke,0
ZPL301003C,38.955077,-76.827758,coke,0
ZPL3010052,39.765757,-105.142055,drpepper,3665.683
ZPL301008N,36.785401,-76.10769,fanta,2345.346
ZPL301010K,39.0509379,-95.6795166,coke,0
ZPL301011F,28.2822925,-81.3486663,fanta,2047.475
ZPL301012A,40.400323,-80.024316,coke,0
ZPL3010140,38.79537,-90.620665,coke,0
ZPL301015V,37.1242729,-76.3918459,coke,0
ZPL301017L,37.130116,-76.537625,coke,0
ZPL301018G,37.130116,-76.537625,coke,0
ZPL301020D,39.7630541,-105.1399892,drpepper,4218.754
ZPL3010218,36.120825,-97.064784,drpepper,8101.218
ZPL3010223,36.0685908,-79.2702184,coke,0
ZPL301023Y,38.9426612,-76.7334685,fanta,3322.854
ZPL301024T,36.785401,-76.10769,coke,0
ZPL301026J,39.6955231,-104.940094,drpepper,4517.434
ZPL3010377,38.9081521,-104.7821555,coke,0
ZPL301044F,42.641428,-82.974484,drpepper,3714.892
ZPL301052I,38.7444208,-90.5923909,drpepper,4860.483
ZPL3010548,39.7502297,-104.9988056,coke,0
ZPL3010641,33.6890488,-84.3739329,coke,0
ZPL301065W,33.7627423,-84.3926638,coke,0
ZPL301074U,38.917968,-90.1629942,coke,0
ZPL301075P,28.3457801,-81.4197566,fanta,6380.002
ZPL301077F,39.1466306,-84.404731,dietcoke,4040.736
ZPL301078A,26.189221,-80.097183,fanta,1743.697
ZPL3010795,39.5640727,-105.1079189,drpepper,4825.581
ZPL3010807,33.577083,-101.946481,fanta,3175.278
ZPL301082X,42.563403,-83.086025,coke,7029.939
ZPL301085I,37.3805911,-89.6504519,drpepper,5603.469
ZPL301089Y,42.474711,-70.957572,fanta,4483.032
ZPL3010900,39.8819024,-75.5294695,dietcoke,4623.288
ZPL301091V,38.6785584,-90.2587709,fanta,2692.346
ZPL301092Q,42.0120378,-87.7213946,fanta,3219.332
ZPL301093L,40.1471235,-82.9212389,dietcoke,3695.102
ZPL301094G,38.7847063,-77.0161381,fanta,4696.213
ZPL301095B,37.297461,-76.726035,fanta,2204.89
ZPL3010966,40.337657,-79.8084096,coke,0
ZPL3010971,41.8981279,-87.6239006,coke,0
ZPL301098W,42.0120378,-87.7213946,fanta,2507.535
ZPL301099R,37.1334073,-94.4751489,drpepper,8084.042
ZPL301100E,39.30684,-84.487168,dietcoke,3454.493
ZPL3011024,37.3805911,-89.6504519,dietcoke,7738.888
ZPL301103Z,40.7624826,-73.9836523,coke,0
ZPL301106K,33.6342039,-84.292277,fanta,2880.245
ZPL3011107,37.0722049,-94.477103,drpepper,12081.424
